url,weighted_position,performance_score,best_practices_score,accessibility_score,seo_score
https://wygodnyrower.pl/serwis/serwis-rowerowy-warszawa/,1,0.95,0.96,0.79,0.92
https://3gravity.pl/pl/,2.04,0.81,0.96,0.95,1
https://www.centrumrowerowe.pl/sklep-rowerowy-warszawa/,3.08,0.66,1,0.75,1
https://skleprowerowy.pl/,4.16,0.56,0.96,0.8,1
https://warszawa.naszemiasto.pl/serwisy-rowerowe-w-warszawie-lista-warsztatow-gdzie-mozna-naprawic-rower-lub-zrobic-jego-przeglad/ar/c15p1-21631935,5.69,0.71,0.74,0.96,1
https://sklep-naszosie.pl/,6.36,0.89,0.96,0.75,0.92
https://beatbike.pl/,6.61,0.77,0.96,0.75,0.92
https://sportset.pl/,8.24,0.79,0.78,0.76,1
https://wygodnyrower.pl/aktualnosci/%F0%9F%91%8Bnowy-sklep-i-serwis-wygodnyrower-bielany/,8.8562,0.91,0.96,0.83,0.83
https://www.rowerywarszawa.pl/,10.34,0.56,0.96,0.81,1
https://www.decathlon.pl/serwis-rowerowy-warszawa_lp-2FZRI2,11.01,0.93,0.96,0.84,1
https://sprint-rowery.pl/serwis-rowerowy-warszawa,11.99,0.81,1,0.6,0.73
https://www.bybikes.pl/pl/c/SERWIS/38,13.25,0.88,0.85,0.74,0.92
https://sklep-naszosie.pl/serwis-rowerowy-warszawa/,14.08,0.95,0.96,0.79,0.92
https://antymateria.com/sklep-i-serwis-rowerowy-zdziechowskiego/,16.16,0.63,1,0.9,1
https://kross.eu/pl/sklepy-i-serwisy-rowerowe-warszawa-mazowieckie,18.29,0.69,0.96,0.6,0.67
https://trirent.pl/245-serwis-rowerowy-warszawa-mokotow,19.05,0.85,0.89,0.9,0.92
https://mobilnyserwisrowerow.pl/,19.61,0.97,1,0.91,0.92
https://bike-project.pl/serwis-rowerowy-Bemowo,19.68,0.81,0.7,0.77,0.92
https://alltheway.pl/content/52-serwis-rowerowy-warszawa,20.58,0.76,1,0.82,1
https://travelbike.pl/,21.36,0.76,0.74,0.81,0.75
https://marceli.waw.pl/,23.31,0.75,0.96,0.84,0.92
https://ramasport.pl/serwis-rowerowy,23.59,0.93,0.96,0.74,0.64
https://www.vuelta.waw.pl/,23.64,0.79,0.93,0.88,0.7
https://cykle.com.pl/serwis-rowerowy-warszawa/,23.96,0.82,0.96,0.89,0.92
https://justbike.pl/,26.08,0.82,0.96,0.74,0.92
https://marceli.waw.pl/sklep-i-serwis-rowerowy-warszawa-goclaw/,29.62,0.93,0.96,0.81,0.92
https://www.legion-serwis.com.pl/,29.69,0.79,1,0.86,1
https://sport-bike.eu/Serwis-Uslugi/Serwis-rowerowy,30.42,0.84,0.89,0.74,0.92
https://www.bybikes.pl/pl/i/KONTAKT/13,32.23,0.81,0.85,0.74,0.92
https://www.decathlon.pl/serwis-rowerowy-warszawa-bemowo_lp-VT4BPT,32.33,0.93,0.96,0.84,1
https://serwis-rowerowy-bicycle-store.business.site/,33.09,0.93,0.96,0.9,0.75
https://www.2kolka.com.pl/serwis.html,34.1128,0.98,0.74,0.78,0.73
https://www.koozabikes.com/,34.62,0.92,0.96,0.94,1
https://www.bikesalon.pl/serwis-rowerowy-warszawa,35.23,0.73,0.96,0.83,1
https://www.bikesalon.pl/,36.64,0.8,0.96,0.87,1
https://bike-project.pl/kontakt,37.2396,0.81,0.7,0.71,0.92
https://rowerowyserwis.com/,38.91,0.98,0.74,0.7,0.8
https://profibike.com.pl/,39.2,0.86,0.74,0.7,0.73
https://sport-bike.eu/,39.97,0.86,0.89,0.68,0.92
https://warszawa19115.pl/-/rowerowa-warszawa-miejski-serwis-rowerowy,42.48,0.33,0.93,0.87,0.83
https://cykle.com.pl/,43.55,0.82,0.96,0.89,0.91
https://rafbike.pl/,45.02,0.87,0.81,0.79,0.83
http://www.jrconceptbikes.pl/,46.02,0.83,0.81,0.69,0.92
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy-bezplatny,46.04,0.96,1,0.89,1
http://www.mobilnyserwisrowerowy.com/,46.32,0.95,0.81,0.81,1
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy,47.34,0.96,1,0.89,1
https://bike2door.waw.pl/,47.81,0.53,0.93,0.89,1
https://skleprowerowy.pl/content/serwis-rowerowy,49.81,0.93,0.96,0.83,1
https://www.nartyrowery.warszawa.pl/serwis-rowery.php,51.38,0.99,0.96,0.66,0.6
https://www.facebook.com/serwisoflovers/?locale=pl_PL,53.9027,0.76,0.93,0.89,1
http://www.wawabike.pl/,54.27,0.6,0.78,0.74,0.83
https://ramasport.pl/,55.1,0.81,0.96,0.74,0.82
https://www.mobilnyserwisrowerowy.waw.pl/,56.07,0.76,0.96,0.75,0.83
https://psstrefaoutdoor.pl/warszawa/,57.96,0.95,1,0.83,1
https://www.roadbike.pl/,59.46,0.51,1,0.73,0.83
https://www.starofservice.pl/panstwo/mazowieckie/warszawa/warszawa/naprawa-rowerow,59.91,0.69,1,0.8,0.92
https://www.legion-serwis.com.pl/oferta/serwis-rowerowy/,60.67,0.97,1,0.83,1
https://www.bikeatelier.pl/content/60-warszawa,61.24,0.88,0.78,0.83,0.91
http://bikeservice.com.pl/,63.61,0.93,0.78,0.91,0.82
https://www.achtenrower.pl/,63.74,0.74,0.93,0.88,0.91
https://rowerybielany.pl/,64.0343,0.88,0.96,0.76,1
https://velogram.pl/,64.75,0.92,1,0.76,0.8
https://www.osmaszprycha.pl/,67.76,0.85,1,0.87,1
https://roweroweporady.pl/f/topic/131-dobry-serwis-rowerowy-w-warszawie/,68.5235,0.87,0.96,0.95,0.92
https://rowerybialoleka.com.pl/,68.78,0.91,1,0.75,1
https://kazoora.pl/pl/i/Serwis-rowerowSerwis-amortyzatorow/13,69.4623,0.77,0.93,0.76,0.92
https://serwis-rowerowy-po-godzinach.business.site/,71.24,0.98,0.96,0.86,0.75
https://mobilny-serwis-rowerowy.pl/,72.411,0.98,0.74,0.87,0.83
https://bikerstudio.com.pl/pl/i/Sklep-rowerowy-Bielany/35,73.6149,0.82,0.7,0.67,0.92
"https://panoramafirm.pl/serwis_rowerowy/mazowieckie,,warszawa,targ%C3%B3wek,chodecka",73.8292,0.78,1,0.81,0.92
"http://www.konaworld.pl/menu,29,serwis_rowerowy",75.3699,0.96,0.78,0.82,0.82
https://otwartywarsztatrowerowy.pl/,77.7676,0.8,1,1,0.92
http://www.megastart.pl/,80.2673,0.5,0.81,0.68,0.91
https://ravserwis.pl/,80.6718,0.9,1,0.81,0.75
https://bike2door.waw.pl/serwis,81.06,0.65,0.93,0.81,1
https://mowianamiescie.pl/artykuly/3156-warszawo-gdzie-naprawic-rower-10-najlepszych-serwisow,81.6014,0.8,0.96,0.83,0.92
https://warszawa.naszemiasto.pl/przeglad-i-naprawa-rowerow-za-darmo-w-warszawie-w-stolicy/ar/c1-9454401,83.44,0.86,0.74,0.94,1
https://sportset.pl/serwis-rowerowy/mobilny-serwis-rowerowy,84.0199,0.87,1,0.8,1
https://www.swiatroweru.com.pl/serwis.php,84.3873,0.81,1,0.66,0.82
https://bike2box.com/mobilny-serwis-rowerowy-warszawa,85.8892,0.76,0.96,0.81,1
https://www.olx.pl/uslugi/warszawa/q-serwis-rowerowy/,86.6544,0.41,0.81,0.74,0.92
"https://www.mediaexpert.pl/lp,serwis-rowerowy",90.0928,0.87,0.74,0.76,0.83
https://www.shimanoservicecenter.com/pl/sprzedawcy/profesjonalny-serwis-rowerowy-warszawa,92.7252,0.62,0.74,0.83,0.8
https://nasciezce.pl/,93.7719,0.71,0.67,0.71,0.92
https://www.t-bike.pl/contact,94.48,0.91,1,0.62,0.82
https://trirent.pl/serwis-rowerowy-warszawa-mokotow/334-serwis-rowerowy-premium.html,97.7385,0.93,0.89,0.72,0.92
https://fixesbikessklep.wixsite.com/fixesbikes,101.5684,0.8,0.74,0.97,0.92
http://www.rowery.com.pl/,105.7722,0.71,0.59,0.65,0.83
https://sklepy.bikeworld.pl/sklepy/wszystkie/wszystkie/WARSZAWA,107.474,0.76,0.78,0.85,0.91
"https://www.rmf24.pl/regiony/warszawa/news-mobilny-serwis-rowerowy-w-warszawie-tu-za-darmo-zrobisz-prze,nId,7033129",108.1994,0.59,0.96,0.61,0.83
https://dehnelsport.pl/serwis-rowerowy-warszawa/,112.5536,0.83,1,0.92,1
https://lotnyserwis.prv.pl/,116.5675,0.89,1,0.55,0.91
https://propagandarowerowa.com/index.php/serwis/,130.3265,0.86,1,0.83,1
https://haloursynow.pl/pl/651_artykuly-sponsorowane/23126_serwis-rowerowy-warszawa-targowek---sklep-rowerowy-sport-bike.html,133.4721,0.71,0.78,0.86,1
https://www.eska.pl/warszawa/darmowy-serwis-rowerowy-dla-mieszkancow-warszawy-przez-caly-tydzien-w-kilku-dzielnicach-21-09-aa-WHbk-Wm2M-7UqL.html,134.8573,0.94,0.96,0.78,0.92
https://altsport.pl/,142.9835,0.97,1,0.9,1
https://bike-project.pl/,155.248,0.79,0.7,0.65,0.83
https://sportset.pl/serwis-rowerowy,160.3418,0.88,1,0.77,0.92
https://www.facebook.com/sasiedzkiserwisrowerowytarchominibialoleka/,166.3086,0.78,0.89,0.89,1
https://veloart.cc/serwis/,182.3145,0.93,1,0.84,0.83
https://wygodnyrower.pl/,200,0.94,0.96,0.83,0.92
https://www.facebook.com/VueltaSerwisRowerowy/?locale=pl_PL,214.1869,0.76,0.93,0.89,1
https://www.facebook.com/mobilnyserwisrowerowy.warszawa/?locale=pl_PL,228.9256,0.8,0.89,0.88,1
https://skleprowerowy.warszawa.pl/,256.16,0.76,0.96,0.71,0.73
https://trirent.pl/serwis-rowerowy-warszawa-mokotow/30-serwis-rowerowy-basic.html,296.9822,0.91,0.89,0.72,0.92
"https://www.goldenline.pl/grupy/Sport_i_rekreacja/rowerem-po-warszawie-i-okolicach/h-e-l-p-dobry-i-w-miare-tani-serwis-rowerowy-w-warszawie,1132118/",346.9388,0.68,0.96,0.75,0.82
https://www.wektorrowery.pl/,593.75,0.98,0.78,0.83,1
https://www.pkt.pl/szukaj/serwis-rowerowy/warszawa-dzielnica-praga-po%C5%82udnie,675.1479,0.73,0.96,0.66,0.75
http://www.wawabike.pl/strony/serwis_rowerowy.html,746.7456,0.62,0.81,0.77,0.83
http://serwiskrecisie.pl/,815.9722,0.87,0.81,0.88,1
http://www.rowery.com.pl/serwis-rowerowy/,825.6198,0.81,0.56,0.79,0.83
